label,hemi,vertex,sx,sy,sz,roi_name_AAL
C3,L,8074,-49.9407,-17.769281,58.379986,ROI_4200
C4,R,4652,50.428547,-17.774555,58.689156,ROI_5401
Cz,R,850,8.898888,-22.44701,77.044586,ROI_6401
F3,L,7274,-39.33985,42.196632,30.08366,ROI_2201
F4,R,2575,38.841778,45.840607,26.153173,ROI_2202
F7,L,7651,-52.617657,33.130154,-3.9767575,ROI_2087
F8,R,3655,54.217506,33.22262,-4.7843633,ROI_2322
Fp1,L,1870,-19.646536,65.61562,-3.431504,ROI_2111
Fp2,R,7643,20.8906,67.14077,-0.8932021,ROI_1683
Fz,L,1862,-6.2117805,41.770927,52.088165,ROI_2601
O1,L,6907,-25.698223,-98.67831,13.226323,ROI_3120
O2,R,2343,21.91299,-99.49065,14.151332,ROI_4072
P3,L,7769,-38.775562,-72.8497,47.968178,ROI_3732
P4,R,1933,37.67445,-73.44621,46.319447,ROI_6222
Pz,L,673,-8.919163,-67.76015,62.00335,ROI_6301
T3,L,6359,-68.235565,-22.98892,-13.840235,ROI_4920
T4,R,837,69.846436,-27.50024,-12.596963,ROI_8202
T5,L,9458,-61.551537,-60.76786,0.036720823,ROI_4100
T6,R,5634,59.276196,-62.709595,2.2441902,ROI_8202
